2018-01-11,中金公司,601006,大秦铁路,"大秦铁路(601006)Divided yield a safety margin;reform,freight rate hikes likely catalysts-180110",http://www.51pdf.com.cn/report_gg_p277/,51pdf,
2018-01-11,中金公司,000513,丽珠集团,丽珠集团(000513)Ilaprazole for injection approved;a potential blockbuster-180110,http://www.51pdf.com.cn/report_gg_p277/,51pdf,
2018-01-11,德意志银行,600258,首旅酒店,首旅酒店(600258)Access China Conference highlights-180110,http://www.51pdf.com.cn/report_gg_p277/,51pdf,
2018-01-11,德意志银行,002518,科士达,科士达(002518)Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p277/,51pdf,
2018-01-11,德意志银行,002415,海康威视,海康威视(002415)DB Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p277/,51pdf,
2018-01-11,德意志银行,002456,欧菲科技,欧菲科技(002456)Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,600276,恒瑞医药,恒瑞医药(600276)Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,002466,天齐锂业,天齐锂业(002466)Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,600406,国电南瑞,国电南瑞(600406)Access China Conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,600138,中青旅,中青旅(600138)Access China Conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,002179,中航光电,中航光电(002179)Access China conference highlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,600315,上海家化,上海家化(600315)Shanghai Jahwa-Access China ConferenceHighlights-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,德意志银行,600104,上汽集团,上汽集团(600104)Access China conference highlights 2018-180111,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,长江证券,300433,蓝思科技,蓝思科技(300433)玻璃龙头高歌猛进，平台化打开未来空间-180108,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,长江证券,600585,海螺水泥,海螺水泥(600585)全年业绩指引上修，看好2018年景气度-180108,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,长江证券,601333,广深铁路,广深铁路(601333)2018年投资要点梳理：“铁改”春风迎面，盈利拐点向上-180109,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,长江证券,002419,天虹股份,天虹股份(002419)基础夯实激励到位，力推改革二次成长-180109,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,长江证券,600428,中远海特,"中远海特(600428)运量修复显著,经营趋势向好-180111",http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,天风证券,603816,顾家家居,"顾家家居(603816)启动华中布局,定制家居上马,维持买入评级-180111",http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,浙商证券,600681,百川能源,"百川能源(600681)深度报告-区位优势显著,煤改气等多因素致公司快速发展-171227",http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,川财证券,601636,旗滨集团,旗滨集团(601636)首次覆盖报告：玻璃接力供给侧，A股浮法龙头充分受益-180109,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,天风证券,300121,阳谷华泰,阳谷华泰(300121)橡胶助剂行业步入景气，阳谷华泰打造行业龙头-180111,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,天风证券,300662,科锐国际,"科锐国际(300662)万亿市场龙头企业，高成长，稀缺性,坚定推荐！-180111",http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,中泰证券,603816,顾家家居,顾家家居(603816)战略合作Natuzzi，多品牌战略持续进行-180110,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,财通证券,300357,我武生物,我武生物（300357）业绩预告符合预期，重回快速增长轨道-180111,http://www.51pdf.com.cn/report_gg_p278/,51pdf,
2018-01-11,广发证券,603808,歌力思,歌力思(603808)拟收购依诺时尚80%股权，推进IRO国内布局-180111,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,广发证券,000756,新华制药,新华制药(000756)深度研究-一体化仿制药企业，受益于行业供给侧改革-180111,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,浙商证券,300121,阳谷华泰,阳谷华泰(300121)四季度业绩超预期，环保趋严下有望快速成长-180110,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,高华证券,002583,海能达,海能达(002583)2017年四季度面临支出压力，但长期增长前景不变；重申买入-180110,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,天风证券,002027,分众传媒,分众传媒(002027)17年数禾科技投资收益调增业绩，看好后续营收增长-180111,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,高华证券,600340,华夏幸福,华夏幸福(600340)将核心市场的成功复制到其他主要地区；恢复评级评为买入-180109,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,华创证券,002304,洋河股份,洋河股份（002304）全国化稳步推进，春节动销超预期-180111,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,西部证券,600054,黄山旅游,黄山旅游（600054）2018-2019年客流+ROE迎来双提升周期，“旅游+”赋能业态升级-171226,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
2018-01-11,东方证券,600681,百川能源,百川能源（600681）预告2017年归母净利润同比增长50-60％，符合预期-180111,http://www.51pdf.com.cn/report_gg_p279/,51pdf,
